Bin start,Bin end,Number of unique MAC addresses
1677718875.4477441,1677718885.759193,0
1677718885.759193,1677719065.759193,7
1677719065.759193,1677719118.635047,0
1677719118.635047,1677719298.635047,3
1677719298.635047,1677719303.5451443,0
1677719303.5451443,1677719483.5451443,5
1677719483.5451443,1677719485.6222072,0
1677719485.6222072,1677719665.6222072,4
1677719665.6222072,1677719689.610578,0
1677719689.610578,1677719869.610578,4
1677719869.610578,1677719882.9652762,0
1677719882.9652762,1677720062.9652762,6
1677720062.9652762,1677720087.137572,0
1677720087.137572,1677720267.137572,5
1677720267.137572,1677720283.4249713,0
1677720283.4249713,1677720463.4249713,4
1677720463.4249713,1677720470.689578,0
1677720470.689578,1677720650.689578,7
1677720650.689578,1677720653.5616732,0
1677720653.5616732,1677720833.5616732,6
1677720833.5616732,1677720833.5765364,0
1677720833.5765364,1677721013.5765364,5
1677721013.5765364,1677721058.565064,0
1677721058.565064,1677721238.565064,6
1677721238.565064,1677721241.3311496,0
1677721241.3311496,1677721421.3311496,5
1677721421.3311496,1677721449.2008374,0
1677721449.2008374,1677721629.2008374,7
1677721629.2008374,1677721653.763233,0
1677721653.763233,1677721833.763233,5
1677721833.763233,1677721866.1648998,0
1677721866.1648998,1677722046.1648998,6
1677722046.1648998,1677722136.1731813,0
1677722136.1731813,1677722316.1731813,6
1677722316.1731813,1677722327.3459659,0
1677722327.3459659,1677722507.3459659,7
1677722507.3459659,1677722525.960093,0
1677722525.960093,1677722705.960093,7
1677722705.960093,1677722723.5201364,0
1677722723.5201364,1677722903.5201364,4
1677722903.5201364,1677722923.491194,0
1677722923.491194,1677723103.491194,5
1677723103.491194,1677723128.1142738,0
1677723128.1142738,1677723308.1142738,6
1677723308.1142738,1677723313.6218295,0
1677723313.6218295,1677723493.6218295,5
1677723493.6218295,1677723495.1333618,0
1677723495.1333618,1677723675.1333618,7
1677723675.1333618,1677723684.3644004,0
1677723684.3644004,1677723864.3644004,3
1677723864.3644004,1677723867.973749,0
1677723867.973749,1677724047.973749,7
1677724047.973749,1677724071.5366263,0
1677724071.5366263,1677724251.5366263,5
1677724251.5366263,1677724275.4538376,0
1677724275.4538376,1677724455.4538376,7
1677724455.4538376,1677724460.54844,0
1677724460.54844,1677724640.54844,8
1677724640.54844,1677724653.3696055,0
1677724653.3696055,1677724833.3696055,4
1677724833.3696055,1677724861.6450458,0
1677724861.6450458,1677725041.6450458,5
