Bin start,Bin end,Number of unique MAC addresses
1677634678.4545577,1677634858.4545577,8
1677634858.4545577,1677634867.82966,0
1677634867.82966,1677635047.82966,11
1677635047.82966,1677635049.2374604,0
1677635049.2374604,1677635229.2374604,12
1677635229.2374604,1677635232.1015408,0
1677635232.1015408,1677635412.1015408,6
1677635412.1015408,1677635430.1131432,0
1677635430.1131432,1677635610.1131432,12
1677635610.1131432,1677635615.682942,0
1677635615.682942,1677635795.682942,13
1677635795.682942,1677635809.5567715,0
1677635809.5567715,1677635989.5567715,8
1677635989.5567715,1677635990.1903436,0
1677635990.1903436,1677636170.1903436,16
1677636170.1903436,1677636170.6814215,0
1677636170.6814215,1677636350.6814215,10
1677636350.6814215,1677636355.1099367,0
1677636355.1099367,1677636535.1099367,11
1677636535.1099367,1677636539.6777613,0
1677636539.6777613,1677636719.6777613,15
1677636719.6777613,1677636735.7272427,0
1677636735.7272427,1677636915.7272427,11
1677636915.7272427,1677636917.4926107,0
1677636917.4926107,1677637097.4926107,6
1677637097.4926107,1677637098.8410919,0
1677637098.8410919,1677637278.8410919,12
1677637278.8410919,1677637279.552283,0
1677637279.552283,1677637459.552283,13
1677637459.552283,1677637463.620642,0
1677637463.620642,1677637643.620642,13
1677637643.620642,1677637649.4035423,0
1677637649.4035423,1677637829.4035423,10
1677637829.4035423,1677637831.2596138,0
1677637831.2596138,1677638011.2596138,10
1677638011.2596138,1677638015.0909386,0
1677638015.0909386,1677638195.0909386,10
1677638195.0909386,1677638202.6678097,0
1677638202.6678097,1677638382.6678097,12
1677638382.6678097,1677638387.5765376,0
1677638387.5765376,1677638567.5765376,11
1677638567.5765376,1677638594.1396515,0
1677638594.1396515,1677638774.1396515,11
1677638774.1396515,1677638778.9039166,0
1677638778.9039166,1677638958.9039166,7
1677638958.9039166,1677638959.4100637,0
1677638959.4100637,1677639139.4100637,9
1677639139.4100637,1677639142.435382,0
1677639142.435382,1677639322.435382,8
1677639322.435382,1677639329.327013,0
1677639329.327013,1677639509.327013,7
1677639509.327013,1677639533.4344995,0
1677639533.4344995,1677639713.4344995,11
1677639713.4344995,1677639720.58628,0
1677639720.58628,1677639900.58628,11
1677639900.58628,1677639912.7721975,0
1677639912.7721975,1677640092.7721975,8
1677640092.7721975,1677640094.558901,0
1677640094.558901,1677640274.558901,9
1677640274.558901,1677640274.926473,0
1677640274.926473,1677640454.926473,13
1677640454.926473,1677640463.0641057,0
1677640463.0641057,1677640643.0641057,9
1677640643.0641057,1677640646.9783633,0
1677640646.9783633,1677640826.9783633,10
1677640826.9783633,1677640849.3482265,0
1677640849.3482265,1677641029.3482265,13
1677641029.3482265,1677641030.6946,0
1677641030.6946,1677641210.6946,10
1677641210.6946,1677641217.4342313,0
1677641217.4342313,1677641397.4342313,5
1677641397.4342313,1677641402.2855144,0
1677641402.2855144,1677641582.2855144,10
1677641582.2855144,1677641588.1463997,0
1677641588.1463997,1677641768.1463997,7
1677641768.1463997,1677641773.3020396,0
1677641773.3020396,1677641953.3020396,18
1677641953.3020396,1677641962.8547738,0
1677641962.8547738,1677642142.8547738,9
1677642142.8547738,1677642143.2218907,0
1677642143.2218907,1677642323.2218907,9
1677642323.2218907,1677642332.705173,0
1677642332.705173,1677642512.705173,15
1677642512.705173,1677642514.1445048,0
1677642514.1445048,1677642694.1445048,12
1677642694.1445048,1677642697.2415075,0
1677642697.2415075,1677642877.2415075,12
1677642877.2415075,1677642877.9716923,0
1677642877.9716923,1677643057.9716923,13
1677643057.9716923,1677643066.946637,0
1677643066.946637,1677643246.946637,8
1677643246.946637,1677643251.2738147,0
1677643251.2738147,1677643431.2738147,12
1677643431.2738147,1677643439.2155876,0
1677643439.2155876,1677643619.2155876,9
1677643619.2155876,1677643621.2011333,0
1677643621.2011333,1677643801.2011333,7
1677643801.2011333,1677643823.210259,0
1677643823.210259,1677644003.210259,16
1677644003.210259,1677644004.130839,0
1677644004.130839,1677644184.130839,8
1677644184.130839,1677644192.1531494,0
1677644192.1531494,1677644372.1531494,10
1677644372.1531494,1677644386.6488538,0
1677644386.6488538,1677644566.6488538,8
1677644566.6488538,1677644587.1970503,0
1677644587.1970503,1677644767.1970503,11
1677644767.1970503,1677644772.0852947,0
1677644772.0852947,1677644952.0852947,9
1677644952.0852947,1677644957.0908678,0
1677644957.0908678,1677645137.0908678,10
1677645137.0908678,1677645141.918539,0
1677645141.918539,1677645321.918539,11
1677645321.918539,1677645347.6167572,0
1677645347.6167572,1677645527.6167572,10
1677645527.6167572,1677645543.9787667,0
1677645543.9787667,1677645723.9787667,11
1677645723.9787667,1677645730.080419,0
1677645730.080419,1677645910.080419,13
1677645910.080419,1677645923.327563,0
1677645923.327563,1677646103.327563,11
1677646103.327563,1677646106.613441,0
1677646106.613441,1677646286.613441,10
1677646286.613441,1677646287.8357,0
1677646287.8357,1677646467.8357,11
1677646467.8357,1677646469.0683975,0
1677646469.0683975,1677646649.0683975,12
1677646649.0683975,1677646687.0588164,0
1677646687.0588164,1677646867.0588164,11
1677646867.0588164,1677646871.1765232,0
1677646871.1765232,1677647051.1765232,6
1677647051.1765232,1677647056.5910947,0
1677647056.5910947,1677647236.5910947,11
1677647236.5910947,1677647241.0928192,0
1677647241.0928192,1677647421.0928192,25
1677647421.0928192,1677647434.9625113,0
1677647434.9625113,1677647614.9625113,7
1677647614.9625113,1677647652.9261944,0
1677647652.9261944,1677647832.9261944,10
1677647832.9261944,1677647837.1227534,0
1677647837.1227534,1677648017.1227534,6
1677648017.1227534,1677648039.0662184,0
1677648039.0662184,1677648219.0662184,6
1677648219.0662184,1677648222.2414763,0
1677648222.2414763,1677648402.2414763,8
1677648402.2414763,1677648416.829425,0
1677648416.829425,1677648596.829425,6
1677648596.829425,1677648608.7215889,0
1677648608.7215889,1677648788.7215889,8
1677648788.7215889,1677648803.0831637,0
1677648803.0831637,1677648983.0831637,3
1677648983.0831637,1677648983.9252968,0
